Number,Created,Resolved,Priority,Incident State,Reassignment count,Assignment group,Short description,Category,Subcategory,Country
INC7443227,2025-03-29 14:48:16,2025-03-29 14:49:22,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : ND : PH : AD - Account Disabled ,Access/Lockout,Account Disabled,United Kingdom
INC7442795,2025-03-29 05:53:06,2025-03-29 08:42:06,4 - Low,Autoclosed,0,NETWORK_LAN_LEVEL2,195-ES-SWC00-L3.delphidrive.com Not Responding,Functionality Error,Slow/No Response,Spain
INC7442583,2025-03-29 02:02:29,2025-03-29 02:02:51,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HMV: AD - Account locked,Access/Lockout,Locked Account,United Kingdom
INC7441617,2025-03-28 09:57:12,2025-03-28 10:24:55,4 - Low,Autoclosed,1,EUS_RO_10304,IN: RK: PH: Adobe: Adobe Reader Issue,Error Message,Error Message,Romania
INC7441594,2025-03-28 09:46:19,2025-03-28 10:25:33,4 - Low,Autoclosed,1,EUS_RO_10304,IN: RK: PH: Software center: Software Center Issue,Error Message,Error Message,Romania
INC7441461,2025-03-28 08:19:51,2025-03-28 09:21:43,4 - Low,Autoclosed,1,EUS_RO_10304,IN:PAK:PH: Zebra Designer Issue - Zebra Designer 2 App remains minimized in the taskbar without the possibility of editing labels.,Functionality Error,Feature/Functionality,Romania
INC7441239,2025-03-28 07:33:27,2025-03-28 07:35:20,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : RR : PH : Zscaler rollout - Connect to zscaler,Coaching,Configuration,United Kingdom
INC7441118,2025-03-28 06:23:30,2025-03-28 08:15:16,4 - Low,Autoclosed,1,EUS_RO_10304,IN:PAK:PH: Software Center - User is facing Issue with software center,Functionality Error,Feature/Functionality,Romania
INC7441079,2025-03-28 06:12:40,2025-03-28 08:15:03,4 - Low,Autoclosed,1,EUS_RO_10304,IN: RK: PH: Software center: Software Center Issue,Error Message,Error Message,Romania
INC7441030,2025-03-28 05:32:15,2025-03-28 09:28:36,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: VB: PH: SCCM - Missing the softwares from software center.,Functionality Error,Connectivity,Romania
INC7440981,2025-03-28 04:58:40,2025-03-28 07:37:13,4 - Low,Closed,0,SERVICEDESK_INDIA,IN: VB: PH: Files - Unable to access file.,Functionality Error,Connectivity,United Kingdom
INC7440962,2025-03-28 04:22:34,2025-03-28 12:44:31,4 - Low,Autoclosed,1,Security_UAA,IN: VB: PH: SID_FRBLOEDL LOCKED,Access/Lockout,Insufficient Access,France
INC7440944,2025-03-28 04:03:38,2025-03-28 08:12:15,4 - Low,Autoclosed,1,EUS_RO_10304,IN: AK: PH- Zebra label: Label Code Issue,Error Message,Error Message,Romania
INC7440931,2025-03-28 04:01:45,2025-03-28 08:11:18,4 - Low,Closed,1,EUS_RO_10304,IN:HMV: PH: Software Center Issue,Error Message,Error Message,Romania
INC7440929,2025-03-28 04:00:16,2025-03-28 08:10:41,4 - Low,Closed,1,EUS_RO_10304,IN: AK: PH- Software center:  Software Center Issue,Error Message,Error Message,Romania
INC7440916,2025-03-28 03:47:28,2025-03-28 04:21:19,4 - Low,Closed,0,SERVICEDESK_INDIA,IN:HMV:PH: ShareDrive - No access to H drive.,Error Message,Insufficient Resources,United Kingdom
INC7440909,2025-03-28 03:33:32,2025-03-28 09:56:28,4 - Low,Autoclosed,1,Corporate Web Applications,IN: AK: PH- SharePoint: No possibility to set up manual workflow ,Functionality Error,Break/Fix,Romania
INC7440842,2025-03-28 02:55:19,2025-03-28 04:11:08,4 - Low,Closed,0,SERVICEDESK_INDIA,IN: AK: PH- VPN: Connection problem with Global Protect post Zscaler rollout.,Coaching,Configuration,France
INC7440841,2025-03-28 02:52:41,2025-03-28 06:55:09,4 - Low,Autoclosed,1,EUS_SCCM,IN: VB: PH: Software center - Migration of Fusion PLM installation failed.,Functionality Error,Connectivity,Romania
INC7439575,2025-03-27 11:15:48,2025-03-28 07:31:19,3 - Moderate,Autoclosed,2,EUS_Global_Remote_Support,IN: RK: PH: Teams: Unable to create meeting via outlook.,Functionality Error,Slow/No Response,Germany
INC7439395,2025-03-27 08:49:32,2025-03-27 09:32:14,4 - Low,Autoclosed,1,EUS_RO_10304,IN: VB: PH: Outlook - Outlook Issue.,Functionality Error,Connectivity,Romania
INC7439387,2025-03-27 08:47:13,2025-03-28 03:40:57,4 - Low,Autoclosed,1,NETWORK_LAN_LEVEL2,IN : ND : PH : LAN - Issue with Wap 072,Functionality Error,Connectivity,France
INC7439278,2025-03-27 07:57:13,2025-03-27 11:43:26,4 - Low,Closed,1,EUS_GB_00274,IN : RR : PH : System - Network drives mising,Error Message,Error Message,United Kingdom
INC7439180,2025-03-27 07:21:02,2025-03-27 09:19:24,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK:PH: Shared drive: Lost access to K:// and O:// Drives,Coaching,Technical Question,United Kingdom
INC7439090,2025-03-27 06:41:48,2025-03-27 07:04:18,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH: AD: Password reset,Access/Lockout,Password Reset,Turkey
INC7439089,2025-03-27 06:41:40,2025-03-27 12:37:29,4 - Low,Autoclosed,1,EUS_SCCM,IN: VB: PH: Solid works - Failed installation of Solid works update.,Functionality Error,Data Incorrect/Missing/Other,United Kingdom
INC7439012,2025-03-27 06:00:08,2025-03-27 07:37:51,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH: RDP: Problem with connecting remote bench,Coaching,Technical Question,Turkey
INC7439000,2025-03-27 05:54:33,2025-03-28 06:57:10,4 - Low,Autoclosed,1,EUS_SCCM,IN: VB: PH: NX - User unable to update to upgrade to NX2406.,Functionality Error,Connectivity,United Kingdom
INC7438922,2025-03-27 05:25:11,2025-03-27 07:13:32,4 - Low,Closed,1,APP_ENG_PLM_FUSION,IN: MKR: PH - Fusion PLM - Issue with  computer is not on the Fusion PLM roll-out list.,Functionality Error,Data Incorrect/Missing/Other,United Kingdom
INC7438915,2025-03-27 05:22:03,2025-03-27 06:08:26,4 - Low,Closed,0,SERVICEDESK_INDIA,IN : RR : PH : Issue with GES and others applications working remotely using ZSCALER,Error Message,Error Message,Poland
INC7438859,2025-03-27 04:55:17,2025-03-27 06:08:23,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: MKR: PH: Active Directory  - Need AD Password Reset,Access/Lockout,Password Reset,Turkey
INC7438827,2025-03-27 04:38:17,2025-03-27 08:47:31,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH: MATLAB: MATLAB 2023B Installation error,Coaching / Other,Configuration,Turkey
INC7438788,2025-03-27 04:22:33,2025-03-28 02:30:59,4 - Low,Autoclosed,2,APP_ENG_PDM_PLM_FULL,IN: AK: PH- Teamcenter:  Teamcenter item revision deletion,Error Message,Error Message,Poland
INC7438717,2025-03-27 03:33:21,2025-03-27 05:31:37,4 - Low,Closed,1,NETWORK_LAN_LEVEL2,IN:HMV: PH: Printer - Traceur TX4000 hors connexion ,Error Message,Insufficient Resources,France
INC7438678,2025-03-27 03:02:33,2025-03-27 05:36:14,4 - Low,Autoclosed,1,EUS_RO_10304,IN: VB: PH: Outlook - Outlook issue.,Functionality Error,Connectivity,Romania
INC7438672,2025-03-27 02:58:31,2025-03-27 05:28:56,4 - Low,Closed,1,Messaging,IN: AK: PH- Outlook: Adding an auto-reply to the email box of an employee who no longer works at Phinia,Functionality Error,Break/Fix,Poland
INC7438617,2025-03-27 02:31:23,2025-03-27 04:46:58,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: AK: PH- Zscaler rollout: Need to install Zscaler application ,Coaching,Configuration,Turkey
INC7438196,2025-03-26 22:27:15,2025-03-27 03:56:07,4 - Low,Autoclosed,0,NETWORK_LAN_LEVEL2,202-FR-SWA013-L2-L00.delphidrive.com Not Responding,Functionality Error,Slow/No Response,France
INC7437338,2025-03-26 12:38:25,2025-03-27 09:36:45,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:BS:PH- Software center - Tools are not available at Software Center of my new laptop,Coaching,Configuration,Turkey
INC7437289,2025-03-26 12:07:40,2025-03-26 12:32:17,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: MKR: PH: Inquiry - Unable to access Global protect.,Coaching,Technical Question,Germany
INC7437238,2025-03-26 11:39:20,2025-03-26 13:01:23,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH: Office: Missing office 365 license ,Coaching,Technical Question,United Kingdom
INC7437081,2025-03-26 10:24:54,2025-03-26 12:00:11,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: MKR: PH: Active Directory: Need AD Password Reset,Access/Lockout,Password Reset,United Kingdom
INC7437074,2025-03-26 10:24:08,2025-03-26 11:32:24,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,"IN: RK: PH: AD: Password reset for Nandimandalam, Rajesh Varma (External) <rnandimandalam@phinia.com>",Access/Lockout,Password Reset,United Kingdom
INC7437059,2025-03-26 10:08:42,2025-03-27 03:37:20,4 - Low,Autoclosed,1,SAP_SECURITY,IN: MKR: PH: SAP - Need to Inactivate SAP PG1 Users,Error Message,Error Message,Romania
INC7437049,2025-03-26 10:34:09,2025-03-26 10:35:04,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:HP:PH AD : account locked,Access/Lockout,Locked Account,United Kingdom
INC7436749,2025-03-26 07:19:41,2025-03-26 07:28:36,4 - Low,Autoclosed,1,EUS_GB_00274,IN: MKR: PH: Shared drive - Issue with  H drive  mapping post server migration.,Functionality Error,Data Incorrect/Missing/Other,United Kingdom
INC7436731,2025-03-26 07:24:16,2025-03-26 07:24:36,4 - Low,Closed,0,SERVICEDESK_INDIA,IN:PAK:PH: AD account locked - Successful,Access/Lockout,Locked Account,United Kingdom
INC7436706,2025-03-26 07:00:42,2025-03-26 10:06:48,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: VB: PH: Account unlock - Borgwarner account has been locked.,Access/Lockout,Account Disabled,United Kingdom
INC7436686,2025-03-26 06:49:13,2025-03-27 12:33:50,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH: Zscaler Rollout: Zscaler Disabled Issue,Coaching,Technical Question,Turkey
INC7436621,2025-03-26 06:14:37,2025-03-27 07:40:40,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : RR : PH : Onedrive - Issue while opening old files,Error Message,Error Message,United Kingdom
INC7436585,2025-03-26 06:09:17,2025-03-27 03:15:54,4 - Low,Autoclosed,1,EUS_FR_00202,"IN:PAK:PH: Desktop Services  - GY0W0N3 ""Inaccessible boot device""",Functionality Error,Feature/Functionality,France
INC7436566,2025-03-26 05:57:08,2025-03-26 06:52:20,4 - Low,Closed,0,SERVICEDESK_INDIA,IN : RR : PH : AD - Account locked,Access/Lockout,Locked Account,United Kingdom
INC7436565,2025-03-26 05:51:20,2025-03-26 07:13:31,4 - Low,Autoclosed,1,EUS_RO_10304,IN : RR : PH : System - Laptop Freezing Issue,Error Message,Error Message,Romania
INC7436503,2025-03-26 05:27:20,2025-03-26 08:52:30,4 - Low,Closed,0,SERVICEDESK_INDIA,IN: VB: PH: JIRA - JIRA server is not currently accessible.,Error Message,Error Message,United Kingdom
INC7436480,2025-03-26 05:12:02,2025-03-26 09:36:59,4 - Low,Closed,1,EUS_GB_00282,IN:PAK:PH: Shared Drive - User unable to access the Y drive at Stonehouse,Error Message,Failure/Down,United Kingdom
INC7436452,2025-03-26 05:19:58,2025-03-26 05:20:50,4 - Low,Autoclosed,0,SERVICEDESK_ARGENTINA,ARG: EDP: PH - BitLocker issue with starting PC. ,Recovery key prompted upon reboot,Key recovery process,Spain
INC7436450,2025-03-26 05:01:33,2025-03-26 09:07:50,4 - Low,Closed,1,Security_UAA,IN : RR : PH : JIRA - JIRA Server Not Accessible,Error Message,Error Message,United Kingdom
INC7436434,2025-03-26 05:22:31,2025-03-26 05:23:56,4 - Low,Autoclosed,0,SERVICEDESK_ARGENTINA,ARG: LNN: PH: BitLocker Recovery key. ,User Forgot PIN/ recovery key ,Key recovery process,Spain
INC7436425,2025-03-26 04:37:57,2025-03-26 08:02:39,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH:  Browser : Gillingham Redmine facilities login isn't working,Coaching,Technical Question,United Kingdom
INC7436402,2025-03-26 04:21:59,2025-03-26 06:12:22,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : AK : PH- Workday : User received security alert mail for Workday,Issue/Break-Fix,Workday Access Error,Romania
INC7436370,2025-03-26 04:07:47,2025-03-27 10:56:31,4 - Low,Autoclosed,1,APP_ENT_SERVICENOW,IN: VB: PH: Service now - Account Deactivation Issue.,Service Catalog,Functionality error,Romania
INC7436161,2025-03-26 03:18:35,2025-03-26 08:37:34,4 - Low,Closed,1,APP_ENG_PDM_PLM_FULL,IN: VB: PH: Team center -  User unable to access team center.,Functionality Error,Data Incorrect/Missing/Other,France
INC7436102,2025-03-26 02:28:44,2025-03-27 03:48:13,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN : AK: PH- RDP: Issue to connect to remote desktop using Zscaler and outside network,Coaching,Configuration,Luxembourg
INC7436071,2025-03-26 02:15:15,2025-03-26 03:26:25,4 - Low,Closed,1,Security_UAA,IN:RS:PH:Network Drive-Unable to access UK Gillingham SCR server  (\\UKGIL-FS01.delphidrive.com\Group101$\SCR),Error Message,Error Message,Turkey
INC7436030,2025-03-26 03:44:32,2025-03-26 03:48:09,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: VB: PH: AD - account locked.,Access/Lockout,Locked Account,United Kingdom
INC7435896,2025-03-26 00:06:38,2025-03-26 14:23:00,4 - Low,Autoclosed,1,SAP_SECURITY,IN:RS:PH:SAP-SAP generic user -reset password and unlock,Error Message,Error Message,Romania
INC7435543,2025-03-25 18:33:24,2025-03-26 04:05:11,4 - Low,Autoclosed,0,SAP_BATCHJOBS,OTC_JOBS Job SD_ZSDRQCR21_5452_DELCO TR91 delayed,Error Message,Error Message,Turkey
INC7434978,2025-03-25 10:59:41,2025-03-26 17:39:55,4 - Low,Autoclosed,1,Corporate Web Applications,IN: RK: PH: EPAY issue -  SAP PH1 - supplier cannot create an account.,Functionality Error,Slow/No Response,Poland
INC7434951,2025-03-25 10:48:04,2025-03-26 08:27:50,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: RK: PH: Shared drive: RITM5261093 closed but unable to access shared drive,Coaching,Technical Question,United Kingdom
INC7434914,2025-03-25 10:25:43,2025-03-26 04:58:11,4 - Low,Autoclosed,2,SERVICEDESK_INDIA,IN : RR : PH : SAP EAI - HolisTech password problem,Error Message,Error Message,France
INC7434850,2025-03-25 09:42:50,2025-03-25 11:11:45,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: MKR: PH: Network drives - Issue with Network Drives on Kisok PC no longer working ,Coaching,Configuration,United Kingdom
INC7434787,2025-03-25 08:52:17,2025-03-25 10:43:48,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN: MKR: PH: SAP - Buyer code U53 needs to change from Melis Erol to Huseyin Sonmezisik in PN1 system.,No Action Required,No Action Required,Turkey
INC7434785,2025-03-25 08:44:22,2025-03-28 08:49:54,4 - Low,Autoclosed,2,SAP_PH1_PURCHASE_TO_PAY,IN : RR : PH : SAP - Buyer code update in PH1 system,Error Message,Error Message,Turkey
INC7434735,2025-03-25 08:09:22,2025-03-27 06:23:02,4 - Low,Autoclosed,1,EUS_FR_00202,IN:PAK:PH: Network Services - User is facing Network Issue,Functionality Error,Feature/Functionality,France
INC7434717,2025-03-25 07:55:53,2025-03-26 11:16:30,4 - Low,Closed,1,EUS_GB_00274,IN : RR : PH : System - Scheduled updates failing to download/install,Error Message,Error Message,United Kingdom
INC7434661,2025-03-25 07:16:09,2025-03-25 12:29:22,4 - Low,Autoclosed,0,SERVICEDESK_INDIA,IN:PAK:PH: Outlook - Outlook app missing archive,Error Message,Error Message,United Kingdom
INC7434646,2025-03-25 07:01:23,2025-03-26 10:06:44,4 - Low,Autoclosed,1,APP_ENG_PDM_PLM_FULL,IN : RR : PH : Teamcenter - Teamcenter is out of order,Error Message,Error Message,France
INC7434615,2025-03-25 06:41:49,2025-03-25 09:30:59,4 - Low,Closed,1,EUS_GB_00274,IN: VB: PH: Network drive -  Having trouble Issues after Migration of Server for UKGIL-FS01 not able to get into the drive.,Functionality Error,Connectivity,United Kingdom
