number,sys_created_on,short_description,location,assignment_group,reassignment_count,opened_at,problem_id,priority,u_ci_type,u_resolved,close_code,u_complaint_or_complement,u_complaint_compliment_created,u_on_hold_reason,incident_state,u_priority_count,u_reopened,contact_type,category,u_category,cmdb_ci
INC7443227,29/03/2025 14:48,IN : ND : PH : AD - Account Disabled ,00282 - Stonehouse - United Kingdom,SERVICEDESK_INDIA,0,29/03/2025 14:33,,4 - Low,Active Directory,29/03/2025 14:49,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Phone,,Access/Lockout,ACP05176
INC7442795,29/03/2025 05:53,195-ES-SWC00-L3.delphidrive.com Not Responding,00195 - Madrid - Spain,NETWORK_LAN_LEVEL2,0,29/03/2025 05:51,,4 - Low,Switch,29/03/2025 08:42,Health Check,,,Awaiting On-Site/Local Response,Autoclosed,,FALSE,Event,,Functionality Error,195-ES-SWC00-L3
INC7442583,29/03/2025 02:02,IN:HMV: AD - Account locked,00282 - Stonehouse - United Kingdom,SERVICEDESK_INDIA,0,29/03/2025 01:56,,4 - Low,Active Directory,29/03/2025 02:02,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Phone,,Access/Lockout,Active Directory
INC7441617,28/03/2025 09:57,IN: RK: PH: Adobe: Adobe Reader Issue,10304 - Iasi - Romania,EUS_RO_10304,1,28/03/2025 09:57,,4 - Low,Adobe Acrobat,28/03/2025 10:24,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,IASLTOFF00098
INC7441594,28/03/2025 09:46,IN: RK: PH: Software center: Software Center Issue,10304 - Iasi - Romania,EUS_RO_10304,1,28/03/2025 09:46,,4 - Low,Other Server Software,28/03/2025 10:25,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,HPCZC7458QJS
INC7441461,28/03/2025 08:19,IN:PAK:PH: Zebra Designer Issue - Zebra Designer 2 App remains minimized in the taskbar without the possibility of editing labels.,10304 - Iasi - Romania,EUS_RO_10304,1,28/03/2025 08:19,,4 - Low,Desktop,28/03/2025 09:21,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Functionality Error,IASLTOFF00247
INC7441239,28/03/2025 07:33,IN : RR : PH : Zscaler rollout - Connect to zscaler,00274 - Gillingham - United Kingdom,SERVICEDESK_INDIA,0,28/03/2025 07:15,,4 - Low,VPN,28/03/2025 07:35,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Phone,,Coaching,Zscaler
INC7441118,28/03/2025 06:23,IN:PAK:PH: Software Center - User is facing Issue with software center,10304 - Iasi - Romania,EUS_RO_10304,1,28/03/2025 06:23,,4 - Low,Desktop,28/03/2025 08:15,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Functionality Error,DL4YHKS73
INC7441079,28/03/2025 06:12,IN: RK: PH: Software center: Software Center Issue,10304 - Iasi - Romania,EUS_RO_10304,1,28/03/2025 06:12,,4 - Low,Other Server Software,28/03/2025 08:15,Resolved - Permanent Fix,,,,Autoclosed,,FALSE,Web Request,,Error Message,HPCZC7458QJS
INC7441030,28/03/2025 05:32,IN: VB: PH: SCCM - Missing the softwares from software center.,10304 - Iasi - Romania,SERVICEDESK_INDIA,0,28/03/2025 05:32,,4 - Low,Other Server Software,28/03/2025 09:28,Client Resolved,,,Waiting For Customer Response,Autoclosed,,FALSE,Web Request,,Functionality Error,DLJ8KZ2J3
